Algorithm: Kruskal's MST
MST edges:
1818 3141 1
5174 8708 1
5174 5912 1
1560 9489 1
2829 2830 1
4047 4048 1
8520 8521 1
1691 1692 1
2768 8721 1
2765 2766 1
4077 4355 1
5048 8481 1
8481 9980 1
1755 1756 1
5013 5014 1
5184 5185 1
1819 3117 1
80 81 1
4109 8518 1
8374 8375 1
6881 6882 1
6882 6883 1
4919 7255 1
6896 6897 1
9821 9822 1
187 188 1
2671 2672 1
8332 8333 1
4867 5484 1
1401 6911 1
1288 4973 1
8834 8835 1
2996 4179 1
87 88 1
5399 8785 1
7713 7714 1
1333 1334 1
5384 9681 1
2980 9691 1
5370 8790 1
9957 9958 1
8751 8752 1
8730 8731 1
4851 4852 1
8715 8716 1
1422 1423 1
1453 1650 1
8670 8671 1
1469 5252 1
1470 9212 1
8658 8659 1
1490 8950 1
2889 8892 1
3988 8405 1
83 1393 1
2888 2889 1
5206 5207 1
7084 7399 1
2253 2254 1
4536 4537 1
4214 4450 1
2532 2533 1
8089 8090 1
4499 9548 1
2522 6268 1
4476 8175 1
4471 8781 1
2314 3242 1
4455 4678 1
2511 6074 1
7074 7075 1
2534 8545 1
4406 5375 1
8070 8071 1
4369 4370 1
4360 4361 1
2342 7041 1
2356 7827 1
69 3649 1
2358 9028 1
2467 2468 1
8020 8048 1
7120 7121 1
2426 2427 1
2428 2429 1
4717 4718 1
1945 1946 1
4845 6385 1
8292 8870 1
2648 2649 1
4826 9886 1
2011 9321 1
8263 8264 1
4771 5656 1
2647 2648 1
2096 8944 1
4743 7640 1
4734 8688 1
2595 7907 1
1357 5332 1
4713 4714 1
8197 8198 1
4664 4665 1
4644 9695 1
2162 2163 1
2196 2197 1
4606 4607 1
61 4906 1
4570 4571 1
7019 7020 1
2537 9453 1
4567 8023 1
2218 2219 1
6517 6518 1
3502 3503 1
6138 6872 1
3633 3634 1
6476 6477 1
539 540 1
3470 4793 1
7476 7477 1
618 8254 1
6071 9090 1
3458 5646 1
643 5522 1
6501 6502 1
6030 6031 1
647 648 1
499 500 1
3434 7880 1
3696 9571 1
6530 6531 1
704 4732 1
7504 7505 1
3408 7641 1
717 6526 1
9333 9542 1
3382 3383 1
5428 5429 1
746 4679 1
761 762 1
775 6386 1
821 822 1
397 6229 1
9884 9885 1
3558 6455 1
6372 7110 1
6348 6349 1
6399 6400 1
330 331 1
289 3446 1
3565 9744 1
9665 9666 1
3541 5389 1
3521 9923 1
3593 3594 1
390 7376 1
397 2287 1
9976 9977 1
6209 6330 1
6209 6210 1
3520 6221 1
6437 8238 1
415 4643 1
6452 6715 1
446 447 1
460 7977 1
3615 9805 1
465 1035 1
3618 7496 1
476 4665 1
6146 6147 1
3622 8124 1
1101 5879 1
922 9330 1
9017 9018 1
3157 3158 1
1032 7797 1
3182 3183 1
5602 5603 1
9167 9168 1
3097 7319 1
3204 7065 1
9173 9174 1
5613 6709 1
9130 9131 1
5640 7692 1
242 4501 1
6673 9814 1
6687 6688 1
983 984 1
991 992 1
3338 9904 1
3238 4705 1
8911 8912 1
1093 6853 1
9229 9230 1
6670 6671 1
3325 3326 1
26 27 1
856 5860 1
5444 5445 1
3305 3306 1
9015 9016 1
1189 5803 1
6708 6709 1
8941 8942 1
1166 6622 1
7346 9449 1
7662 7663 1
900 6861 1
8390 8391 2
3520 3521 2
2515 8259 2
2902 9271 2
2919 3050 2
3195 3196 2
2938 2939 2
127 9414 2
3093 3094 2
153 9763 2
3544 5277 2
3555 4621 2
156 7259 2
7662 9032 2
3037 7207 2
2777 2778 2
2700 5063 2
2699 2700 2
3369 3645 2
3371 3372 2
2689 9708 2
2703 8957 2
2706 6941 2
3406 3407 2
3289 4845 2
2711 2712 2
115 3125 2
2652 4546 2
150 6008 2
7586 7587 2
2647 4977 2
3443 3444 2
7806 7807 2
2628 5763 2
133 8304 2
2848 5762 2
9864 9865 2
2575 4808 2
7468 7469 2
2568 8269 2
2897 6457 2
963 3376 2
725 4623 2
739 2432 2
9307 9308 2
9290 9291 2
9248 9249 2
847 1530 2
857 3871 2
874 875 2
257 258 2
892 893 2
901 8419 2
250 251 2
9342 9343 2
1017 5567 2
1031 3742 2
1049 6704 2
8987 8988 2
1133 3743 2
8946 8947 2
8919 8920 2
1235 1236 2
1299 5668 2
8821 8822 2
1303 4565 2
471 4819 2
9697 9698 2
318 319 2
321 5284 2
326 327 2
351 1356 2
9651 9652 2
376 7752 2
381 382 2
411 8004 2
426 6577 2
465 9766 2
8791 8792 2
9725 9726 2
506 4987 2
520 7380 2
525 4105 2
558 6540 2
590 7639 2
9432 9433 2
644 9521 2
652 8103 2
663 6432 2
9348 9349 2
8152 8668 2
6385 6386 2
1880 9223 2
8349 8350 2
1928 1929 2
1979 1980 2
181 7770 2
8244 8245 2
2070 8666 2
2099 2100 2
175 176 2
2147 2148 2
1829 5344 2
170 3324 2
2246 8346 2
2261 6524 2
2275 6387 2
8111 8507 2
8087 8088 2
2313 2314 2
8081 8082 2
8065 8066 2
2371 2784 2
8008 9126 2
1542 1543 2
1348 1349 2
8771 8772 2
1370 2120 2
1397 6183 2
1425 2306 2
8633 8634 2
1514 1515 2
1525 1894 2
1532 1533 2
1536 1537 2
1538 2013 2
7990 9676 2
8570 8571 2
1616 3280 2
1629 1630 2
8535 8536 2
8514 9383 2
1707 9507 2
